adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 93, -3.965766640, 151.760000000, 14.816807273
"001100000", 79, -4.705469184, 179.460000000, 21.349624461
"001100010", 2, -1.647194498, 6.160000000, 2.525506250
"010100100", 68, 2.640215773, 32.380000000, 13.491321565
"010100110", 7, 2.785332475, 2.430000000, 1.640737701
"011000000", 32, -4.353234489, 57.820000000, 5.931221960
"011001000", 11, -1.997622206, 20.920000000, 4.965903948
"011100000", 18, 1.225260662, 12.000000000, 4.896917191
"011100010", 4, 1.068922477, 2.360000000, 1.534255322
"011100100", 9, 4.643383270, 1.370000000, 1.643198409
"011101000", 2, 1.570076254, 0.750000000, 0.796139676
"011101100", 4, 7.050309237, 0.270000000, 0.529054808
"011101110", 2, 14.071965182, 0.020000000, 0.140705294
