adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 225130, 10.370519311, 194434.340000000, 2959.896132562
"001100000", 332627, 9.340502417, 281522.930000000, 5471.233528957
"001100010", 1320, 5.986425660, 951.660000000, 61.529203053
"010100100", 67443, -10.111220344, 88634.490000000, 2095.839006535
"010100110", 662, -11.502321825, 1389.140000000, 63.216801884
"011000000", 144244, 8.400878874, 122805.060000000, 2551.987752971
"011001000", 4111, 0.423618540, 4032.940000000, 184.269555518
"011100000", 57609, -7.105806194, 69672.670000000, 1697.720099564
"011100010", 1302, -17.237350636, 2382.150000000, 62.663342110
"011100100", 7396, -3.865860436, 10661.740000000, 844.764071062
"011101000", 673, -10.459837960, 1271.240000000, 57.194002652
"011101100", 518, -14.172595108, 1743.730000000, 86.485925170
"011101110", 54, -7.169840464, 298.120000000, 34.048177394
